Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Score,Flag
2013-01-14 15,0.116268276,0.141296928,0.723268786,0.241752299,0.25199362,0.5,0.520286765,0.62121212,0.681416115,0.068837017,0.219840625,0.087843602,0.089734288,0.085778365,0.499211135,0.526174737,0.953593626,0.030895759,0.159422232,0.285999024,100,0
2013-01-14 16,0.150614992,0.135836177,0.721863642,0.290968091,0.249601276,0.5,0.507287623,0.57070707,0.11825737,0.105858275,0.051658687,0.130352757,0.13122332,0.128128927,0.499211135,0.553736842,0.954859476,0.067385308,0.051512707,0.184220074,100,0
2013-01-14 19,0.135066141,0.191808874,0.717003042,0.249864792,0.37400319,0.5,0.470324179,0.61,0.261335256,0.079248375,0.056155945,0.060036722,0.063285099,0.057894602,6.86E-05,0.599473684,0.955296536,0.144374367,0.090985684,0.223294014,100,0
2013-01-14 20,0.135298213,0.181228669,0.715599655,0.231476474,0.325358852,1,0.587576443,0.81818182,0.725178911,0.092233865,0.256642464,0.075844592,0.079094133,0.072971005,0.499416916,0.523047368,0.953212386,0.051984018,0.159227417,0.285577062,100,0
2013-01-14 21,0.245764679,0.303754266,0.714094146,0.320173067,0.439393939,1,0.595987653,0.68686869,0.165189363,0.09967968,0.038695807,0.086191698,0.089124456,0.080907694,0.999314061,0.66,0.952826375,0.174915753,0.101545622,0.204515113,100,0
2013-01-14 22,0.141100023,0.121501706,0.712679047,0.313683072,0.244019139,1,0.600214606,0.71573604,0.817013337,0.113264281,0.312663425,0.117809026,0.119589039,0.114996372,0.000251503,0.526357895,0.953547217,0.02298208,0.103497778,0.207116217,100,0
2013-01-14 23,0.092828963,0.124573379,0.71106302,0.21957815,0.251196172,1,0.595987653,0.51010101,0.728805927,0.117321972,0.262244804,0.056485739,0.057518222,0.055540647,0.498730977,0.525538421,0.954826912,0.071789162,0.266211679,0.384897546,100,0
2013-01-15 00,0.143420747,0.141638225,0.71003129,0.308815576,0.241626794,1,0.600575586,0.55050505,0.170267272,0.10509947,0.049688406,0.114451813,0.116809887,0.11056265,0.001006048,0.545,0.952723234,0.135345824,0.070518103,0.16149894,100,0
2013-01-15 01,0.13112091,0.108532423,0.708800688,0.261763115,0.217703349,1,0.595987653,0.71212121,0.815664416,0.135611804,0.326333682,0.110882852,0.112913229,0.107666309,0.001006048,0.525684737,0.953465267,0.012505131,0.088170531,0.171148527,100,0
2013-01-15 02,0.095381759,0.130375427,0.706637925,0.186046512,0.244019139,1,0.595987653,0.52791878,0.319892618,0.071345165,0.074721016,0.061339213,0.063314678,0.059938955,0.999268332,0.518473684,0.954982685,0.392193198,0.130700284,0.207576888,100,0
