Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Score,Flag
2013-09-01 00,0.164539336,0.230716724,0.276669772,0.349918875,0.488038278,0.265527305,0.368537883,0.54606086,0.657586941,0.380474885,0.641414332,0.428967896,0.429155907,0.427748315,0.99940552,0.525750316,0.942756897,0.042699148,0.37960293,0.337162628,50,0
2013-09-01 01,0.101183569,0.201023891,0.267132816,0.192536506,0.3476874,0.284153005,0.36888499,0.79234973,0.241838662,0.319476882,0.50998764,0.436655117,0.437150161,0.436905233,0.499119676,0.378421053,0.941640158,0.086679874,0.121101395,0.070761741,50,0
2013-09-01 02,0.517289394,0.641638225,0.257991549,0.480800433,0.71291866,0.2372449,0.36888499,0.58163265,0.81360439,0.319513048,0.690787833,0.422671396,0.425190548,0.41857168,0.001417617,0.517947368,0.944004331,0.04068628,0.327276753,0.242888153,50,0
2013-09-01 03,0.192388025,0.27337884,0.250418492,0.376960519,0.525518341,0.25945946,0.36888499,0.14054054,0.858817142,0.335513935,0.731011389,0.464724848,0.465432498,0.46269115,0.499371187,0.532157895,0.941064036,0.022105974,0.189852423,0.125136887,50,0
2013-09-01 04,0.322348573,0.37883959,0.241136591,0.54029205,0.680223285,0.28342246,0.36888499,1,0.277528332,0.330714912,0.538666107,0.450070557,0.452035895,0.445274854,0.499165405,0.480052632,0.941566531,0.091028888,0.14257626,0.07076421,50,0
2013-09-01 05,0.057786029,0.1778157,0.428408787,0.121146566,0.321371611,0.26142132,0.36888499,0,0.554657095,0.33324076,0.615006234,0.433835437,0.438468823,0.431053131,0.999222603,0.510526316,0.943878515,0.026249228,0.11875646,0.117565682,95,0
2013-09-01 06,0.094453469,0.202389078,0.41720158,0.186046512,0.363636364,0.23350254,0.36888499,0.24873096,0.223764292,0.358415772,0.519666553,0.434273823,0.436697864,0.431860837,0.000274368,0.294210526,0.942804517,0.090590482,0.123303046,0.076795528,70,1
2013-09-02 00,0.162218612,0.192832765,0.822107107,0.348296376,0.362838915,0.36231884,0.293184102,0.43961353,0.198137436,0.52946798,0.540404731,0.194428896,0.196181426,0.190913487,0.498776707,0.458421053,0.983088793,0.084141352,0.058277548,0.04053956,100,0
2013-09-02 01,0.296820608,0.375426621,0.802944147,0.518658734,0.576555024,0.305555555,0.293184102,0.87878788,0.400278913,0.521326278,0.57643007,0.209587413,0.210457273,0.205491718,0.498776707,0.645263158,0.945033575,0.043621192,0.051310592,0.092495207,75,0
2013-09-02 02,0.197029473,0.210580205,0.799400679,0.388858843,0.342105263,0.314089205,0.359733986,0.51313047,0.366923014,0.444986411,0.557959223,0.189567174,0.191053156,0.18827385,0.001486213,0.256842105,0.950537239,0.100880482,0.117078705,0.19914337,100,0
