Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Score,Flag
2013-01-01 01,0.072870736,0.087372014,0.388132625,0.196863169,0.197767145,0.5,0.44881283,0.52284264,0.731167255,0.085925858,0.246928493,0.205961385,0.208619027,0.204586934,0.499211135,0.525451053,0.954833824,0.04143241,0.309645081,0.413592185,95,0
2013-01-01 02,0.4407055,0.293515358,0.386049701,0.480800433,0.380382775,0.44191919,0.520286765,0.56060606,0.165594053,0.092181008,0.046732303,0.22191553,0.225826574,0.217674752,0.499165405,0.636842105,0.953181986,0.103705599,0.176455575,0.284117356,95,0
2013-01-01 03,0.092132745,0.098293515,0.382476437,0.230394808,0.228070175,0.055555555,0.543991083,0.62626263,0.685087121,0.088877333,0.231093731,0.204788377,0.20669961,0.203612392,0.499165405,0.524231579,0.954087003,0.103203747,0.508084386,0.616658406,95,0
2013-01-01 04,0.114179624,0.122525597,0.380217463,0.198485668,0.206539075,0.5,0.574468619,0.60406091,0.197226752,0.070585546,0.034050478,0.217662369,0.220062365,0.215659142,0.499279729,0.474684211,0.95238492,0.146919714,0.1244758,0.239460277,95,0
2013-01-01 05,0.278254816,0.192832765,0.377058191,0.44835046,0.328548644,0.02777778,0.529080303,0.6010101,0.804079469,0.151215134,0.320570425,0.277781036,0.280343542,0.271200735,6.86E-05,0.513315789,0.951998788,0.015522066,0.20064296,0.259521278,95,0
2013-01-01 06,0.180784405,0.163822526,0.373946678,0.362898864,0.321371611,0,0.520286765,0.52791878,0.73862968,0.086140986,0.25395271,0.270569144,0.272207386,0.267677354,0.499119676,0.527826316,0.954251288,0.056197186,0.25203686,0.379639884,95,0
2013-01-01 07,0.152935716,0.161433447,0.370682804,0.233639805,0.252791069,0.22222222,0.520286765,0.54545455,0.596882444,0.111203187,0.207695491,0.228675839,0.231489054,0.226375668,0.498913895,0.664736842,0.953529736,0.01081298,0.218801249,0.278618359,90,0
2013-01-01 08,0.199350197,0.182593857,0,0.394267171,0.351674641,0.28678616,0.520286765,0.5681534,0.746229413,0.110355476,0.270045015,0.246767909,0.248705675,0.24360487,0.49914254,0.518947368,0.003862166,0.05407808,0.330334674,0.394521726,50,1
2013-01-01 22,0.157577164,0.141638225,0.788890232,0.319091401,0.258373206,0.5,0.586473334,0.55191257,0.582478833,0.09072588,0.183086156,0.045312851,0.046841492,0.044279559,0.498982488,0.526133158,0.994704404,0.054476545,0.352823548,0.121532474,100,0
2013-01-01 23,0.176142957,0.126962457,0.787573077,0.388858843,0.268740032,0.5,0.591050639,0.8423913,0.26217611,0.054459102,0.03397152,0.059466259,0.062247447,0.056382954,0.999474114,0.081578947,0.949416344,0.29401261,0.129864627,0.259933217,100,0
2013-01-02 00,0.123926665,0.091808874,0.784809593,0.282314765,0.184210526,0.5,0.551412511,0.26903553,0.104769729,0.057501586,0,0.121316846,0.122343374,0.120753385,0.499051082,0.426842105,0.950380555,0.126074667,0.125553365,0.253908089,100,0
2013-01-02 01,0.13692272,0.116723549,0.782431453,0.300703083,0.20015949,0.24728261,0.383284615,0.55434783,0.606555374,0.100523367,0.200996304,0.137095932,0.137533386,0.136079581,0.499256864,0.5295,0.951480742,0.040118548,0.20550961,0.339662566,100,0
2013-01-02 02,0.095613832,0.076109215,0.780264257,0.226068145,0.153110048,0.418539325,0.350597697,0.64606742,0.135321038,0.084515526,0.029332388,0.112692997,0.114072563,0.112057496,0.249205431,0.52,0.952692071,0.082106818,0.086624037,0.220059405,100,0
2013-01-02 03,0.322348573,0.223890785,0.778471123,0.502433748,0.363636364,0.346994535,0.349856351,0.13661202,0.283037185,0.082689578,0.07359575,0.113257156,0.114158134,0.109123807,0.499096812,0.54,0.953926663,0.086093745,0.067225146,0.150839338,100,0
